City/Town,Adult Use Status,Delivery Status,Social Consumption Pilot Municipality
Mashpee,Zoning in place; retail license cap,Delivery permitted,No
Maynard,Zoning in place,Delivery permitted,No
Melrose,Zoning in place,Delivery permitted,No
Mendon,Zoning in place; retail license cap,Delivery permitted,No
Middleborough,Zoning in place,Delivery permitted,No
Millbury,Zoning in place,Delivery permitted,No
Millis,Zoning in place; license cap,Delivery permitted,No
Millville,Zoning in place; license cap,Delivery permitted,No
Montague,Zoning in place; license cap,Delivery permitted,No
Nantucket,Zoning in place; license cap,Delivery permitted,No
Natick,Zoning in place,Delivery permitted,No
New Bedford,Zoning in place,Delivery permitted,No
New Braintree,Zoning in place,Delivery permitted,No
Newbury,Zoning in place,Delivery permitted,No
Newburyport,Zoning in place,Delivery permitted,No
Newton,Zoning in place,Delivery permitted,No
North Adams,Zoning in place,Delivery permitted,No
North Attleborough,Zoning in place,Delivery permitted,No
Northampton,Zoning in place,Delivery permitted,No
Northbridge,Zoning in place,Delivery permitted,No
Northfield,Zoning in place,Delivery permitted,No
Norton,Zoning in place,Delivery permitted,No
Oak Bluffs,Zoning in place,Delivery permitted,No
Orange,Zoning in place; retail license cap,Delivery permitted,No
Otis,Zoning in place; retail license cap,Delivery permitted,No
Oxford,Zoning in place; retail license cap,Delivery permitted,No
Palmer,Zoning in place,Delivery permitted,No
Paxton,Zoning in place,Delivery permitted,No
Pelham,No zoning in place,Delivery permitted,No
Pepperell,Zoning in place,Delivery permitted,No
Phillipston,Zoning in place,Delivery permitted,No
Pittsfield,Zoning in place,Delivery permitted,No
Plainfield,Zoning in place,Delivery permitted,No
Plainville,Zoning in place,Delivery permitted,No
Plymouth,Zoning in place; license cap,Delivery permitted,No
Princeton,Zoning in place,Delivery permitted,No
Provincetown,Zoning in place,Delivery permitted,No
Quincy,Zoning in place,Delivery permitted,No
Rehoboth,Zoning in place; retail license cap,Delivery permitted,No
Richmond,Zoning in place,Delivery permitted,No
Rockland,Zoning in place,Delivery permitted,No
Rowley,Zoning in place,Delivery permitted,No
Royalston,Zoning in place,Delivery permitted,No
Rutland,Zoning in place,Delivery permitted,No
Salem,Zoning in place; license cap,Delivery permitted,No
Salisbury,Zoning in place,Delivery permitted,No
Seekonk,Zoning in place,Delivery permitted,No
Sharon,Zoning in place; license cap,Delivery permitted,No
Sheffield,Zoning in place,Delivery permitted,No
Shelburne,Zoning in place,Delivery permitted,No
Shirley,Zoning in place,Delivery permitted,No
Shrewsbury,Zoning in place; retail license cap,Delivery permitted,No
Somerset,Zoning in place; license cap,Delivery permitted,No
Somerville,Zoning in place,Delivery permitted,No
Southampton,Zoning in place; retail license cap,Delivery permitted,No
Springfield,Zoning in place; license cap,Delivery permitted,No
Stockbridge,Zoning in place,Delivery permitted,No
Sturbridge,Zoning in place,Delivery permitted,No
Sunderland,Zoning in place,Delivery permitted,No
Swampscott,Zoning in place,Delivery permitted,No
Swansea,Zoning in place; license cap,Delivery permitted,No
Taunton,Zoning in place; retail license cap,Delivery permitted,No
Templeton,Zoning in place,Delivery permitted,No
Tewksbury,Zoning in place,Delivery permitted,No
Tisbury,Zoning in place,Delivery permitted,No
Townsend,Zoning in place; retail license cap,Delivery permitted,No
Truro,Zoning in place,Delivery permitted,No
Tyngsborough,Zoning in place,Delivery permitted,No
Uxbridge,Zoning in place; license cap,Delivery permitted,No
Waltham,Zoning in place,Delivery permitted,No
Ware,Zoning in place,Delivery permitted,No
Wareham,Zoning in place,Delivery permitted,No
Warwick,No zoning in place,Delivery permitted,No
